Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
279,Mitchell Tinsley,CIN,WR,26,11,1,0,0,0,0,0,0,0,,0,12,5,78,15.60,2,0,0,2,,,20,24.8,24.8,22.3,,113,,TinsMi00
280,Luke Farrell,SFO,TE,28,12,4,0,0,0,0,0,0,0,,0,13,11,85,7.73,2,1,1,2,,,19,29.5,30.5,24.0,,52,,FarrLu00
281,Miles Sanders,DAL,RB,28,4,0,0,0,0,0,0,20,117,5.85,1,8,8,30,3.75,0,1,1,1,,,19,26.7,30.7,22.7,,70,,SandMi01
282,Isaac TeSlaa,DET,WR,23,11,1,0,0,0,0,0,0,0,,0,9,4,65,16.25,2,0,0,2,,,19,22.5,22.5,20.5,,116,,TeSlIs00
283,Tank Bigsby,2TM,RB,24,11,0,0,0,0,0,0,23,176,7.65,0,1,1,-1,-1.00,0,0,0,0,,,18,18.5,21.5,18.0,,74,,BigsTa00
284,Ray Davis,BUF,RB,26,11,0,0,0,0,0,0,24,44,1.83,0,7,4,18,4.50,1,0,0,2,,,18,22.2,22.2,20.2,,71,,DaviRa04
285,Zay Jones,ARI,WR,30,8,0,0,0,0,0,0,0,0,,0,18,12,183,15.25,0,0,0,0,,,18,30.3,33.3,24.3,,118,,JoneZa00
286,Adonai Mitchell,2TM,WR,23,10,1,0,0,0,0,0,0,0,,0,29,12,204,17.00,0,1,1,0,,,18,30.4,34.4,24.4,,117,,MitcAd00
287,Keaton Mitchell,BAL,RB,23,7,0,0,0,0,0,0,23,134,5.83,0,6,5,44,8.80,0,1,0,0,,,18,22.8,25.8,20.3,,73,,MitcKe01
288,Josh Oliver,MIN,TE,28,9,3,0,0,0,0,0,0,0,,0,9,7,62,8.86,2,0,0,2,,,18,25.2,25.2,21.7,,53,,OlivJo00
289,Demarcus Robinson,SFO,WR,31,9,1,0,0,0,0,0,0,0,,0,24,13,163,12.54,0,0,0,0,1,,18,31.3,34.3,24.8,,119,,RobiDe01
290,Jeremy Ruckert,NYJ,TE,25,11,9,0,0,0,0,0,0,0,,0,16,14,119,8.50,1,0,0,1,,,18,31.9,34.9,24.9,,54,,RuckJe00
291,Ja'Tavion Sanders,CAR,TE,22,9,3,0,0,0,0,0,0,0,,0,30,25,176,7.04,0,0,0,0,,,18,42.6,45.6,30.1,,55,,SandJa01
292,Zavier Scott,MIN,RB,26,10,0,0,0,0,0,0,21,69,3.29,0,12,10,73,7.30,1,2,1,1,,,18,28.2,29.2,23.2,,72,,ScotZa00
293,Jalen Coker,CAR,WR,24,6,2,0,0,0,0,0,0,0,,0,19,14,150,10.71,0,0,0,0,1,,17,31.0,34.0,24.0,,120,,CokeJa01
294,Brandin Cooks,NOR,WR,32,10,3,0,0,0,0,0,0,0,,0,25,19,165,8.68,0,0,0,0,,,17,35.5,38.5,26.0,,122,,CookBr00
295,Mason Rudolph,PIT,QB,30,4,1,38,49,310,2,1,7,6,0.86,0,0,0,0,,0,1,1,0,,,17,17.0,22.0,18.0,,45,,RudoMa00
296,Kyle Williams,NWE,WR,23,12,0,0,0,0,0,0,1,-2,-2.00,0,12,4,110,27.50,1,0,0,1,,,17,20.8,23.8,18.8,,121,,WillKy03
297,Joe Burrow,CIN,QB,29,2,2,21,36,189,2,0,2,3,1.50,0,0,0,0,,0,0,0,0,,,16,15.9,15.9,15.9,,46,,BurrJo01
298,Isaiah Hodgins,NYG,WR,27,2,1,0,0,0,0,0,0,0,,0,12,7,99,14.14,1,0,0,1,,,16,22.9,22.9,19.4,,123,,HodgIs00
299,Raheem Mostert,LVR,RB,33,8,0,0,0,0,0,0,20,92,4.60,0,9,9,63,7.00,0,0,0,0,,,16,24.5,24.5,20.0,,75,,MostRa00
300,Jordan Whittington,LAR,WR,25,11,6,0,0,0,0,0,3,12,4.00,0,21,16,147,9.19,0,0,0,0,,,16,31.9,34.9,23.9,,124,,WhitJo04
301,Ashton Dulin,IND,WR,28,10,2,0,0,0,0,0,3,44,14.67,0,8,5,106,21.20,0,0,0,0,,,15,20.0,23.0,17.5,,126,,DuliAs00
302,Jerome Ford,CLE,RB,26,11,0,0,0,0,0,0,24,73,3.04,0,26,21,76,3.62,0,0,0,0,,,15,35.9,35.9,25.4,,76,,FordJe00
303,Taysom Hill,NOR,TE,35,7,1,1,5,19,0,0,32,69,2.16,1,4,3,18,6.00,0,1,0,1,,,15,18.5,18.5,17.0,,56,,HillTa00
304,Tanner Hudson,CIN,TE,31,9,1,0,0,0,0,0,0,0,,0,13,11,92,8.36,1,0,0,1,,,15,26.2,26.2,20.7,,58,,HudsTa00
305,Adam Trautman,DEN,TE,28,11,8,0,0,0,0,0,0,0,,0,12,11,93,8.45,1,0,0,1,,,15,26.3,26.3,20.8,,57,,TrauAd00
306,Devaughn Vele,NOR,WR,28,10,5,0,0,0,0,0,0,0,,0,20,9,91,10.11,1,0,0,1,,,15,24.1,24.1,19.6,,125,,VeleDe00
307,Savion Williams,GNB,WR,24,11,0,0,0,0,0,0,9,28,3.11,0,10,10,78,7.80,1,1,1,1,,,15,24.6,25.6,19.6,,127,,WillSa01
308,Elijah Higgins,ARI,TE,25,11,5,0,0,0,0,0,0,0,,0,20,16,162,10.13,0,1,1,0,,,14,30.2,34.2,22.2,,59,,HiggEl00
309,Terrell Jennings,NWE,RB,24,6,0,0,0,0,0,0,23,73,3.17,1,1,1,9,9.00,0,0,0,1,,,14,15.2,15.2,14.7,,77,,JennTe00
310,Kameron Johnson,TAM,WR,23,11,0,0,0,0,0,0,2,13,6.50,0,6,4,64,16.00,1,0,0,1,,,14,17.7,17.7,15.7,,130,,JohnKa01
311,Hunter Luepke,DAL,RB,25,11,2,0,0,0,0,0,3,13,4.33,0,9,8,63,7.88,1,0,0,1,,,14,21.6,21.6,17.6,,78,,LuepHu00
312,Gunner Olszewski,NYG,WR,29,12,0,1,1,33,1,0,0,0,,0,3,1,24,24.00,1,0,0,1,,,14,14.7,14.7,14.2,,129,,OlszGu00
313,Curtis Samuel,BUF,WR,29,6,0,0,0,0,0,0,0,0,,0,9,7,81,11.57,1,0,0,1,,,14,21.1,21.1,17.6,,128,,SamuCu00
314,Ameer Abdullah,IND,RB,32,7,0,0,0,0,0,0,8,40,5.00,1,6,5,30,6.00,0,0,0,1,,,13,18.0,18.0,15.5,,80,,AbduAm00
315,Braelon Allen,NYJ,RB,21,4,0,0,0,0,0,0,18,76,4.22,1,3,2,17,8.50,0,1,1,1,,,13,15.3,16.3,14.3,,79,,AlleBr05
316,Noah Gray,KAN,TE,26,11,5,0,0,0,0,0,0,0,,0,28,16,132,8.25,0,0,0,0,,,13,29.2,32.2,21.2,,60,,GrayNo00
317,George Holani,SEA,RB,26,11,0,0,0,0,0,0,22,73,3.32,1,2,2,15,7.50,0,1,1,1,,,13,14.8,15.8,13.8,,81,,HolaGe00
318,Isaiah Likely,BAL,TE,25,8,5,0,0,0,0,0,0,0,,0,19,13,128,9.85,0,1,0,0,,,13,25.8,28.8,19.3,,61,,LikeIs00
319,Devin Neal,NOR,RB,22,7,0,0,0,0,0,0,17,61,3.59,0,14,12,64,5.33,0,0,0,0,,,13,24.5,24.5,18.5,,82,,NealDe00
320,Brycen Tremayne,CAR,WR,26,11,1,0,0,0,0,0,0,0,,0,15,12,133,11.08,0,1,0,0,,,13,25.3,28.3,19.3,,131,,TremBr00
321,Jimmy Horn,CAR,WR,23,8,0,0,0,0,0,0,7,44,6.29,0,11,7,77,11.00,0,0,0,0,,,12,19.1,19.1,15.6,,132,,HornJi00
322,Luke Musgrave,GNB,TE,25,11,6,0,0,0,0,0,0,0,,0,17,14,117,8.36,0,1,0,0,,,12,25.7,28.7,18.7,,62,,MusgLu00
323,Josh Reynolds,NYJ,WR,30,5,3,0,0,0,0,0,0,0,,0,21,11,101,9.18,0,0,0,0,1,,12,23.1,26.1,17.6,,133,,ReynJo00
324,Shedeur Sanders,CLE,QB,23,2,1,15,36,256,1,2,4,15,3.75,0,0,0,0,,0,1,0,0,,,12,11.7,13.7,13.7,,47,,SandSh00
325,Ben Skowronek,PIT,WR,28,11,3,0,0,0,0,0,0,0,,0,4,3,56,18.67,1,0,0,1,,,12,14.6,14.6,13.1,,135,,SkowBe00
326,Cody White,SEA,WR,27,5,0,0,0,0,0,0,0,0,,0,2,1,60,60.00,1,0,0,1,,,12,13.0,13.0,12.5,,134,,WhitCo05
327,Nate Adkins,DEN,TE,26,6,3,0,0,0,0,0,0,0,,0,10,6,48,8.00,1,0,0,1,,,11,16.8,16.8,13.8,,64,,AdkiNa00
328,LeQuint Allen,JAX,RB,21,11,0,0,0,0,0,0,14,70,5.00,0,8,7,41,5.86,0,0,0,0,,,11,18.1,18.1,14.6,,83,,AlleLe01
329,Julian Hill,MIA,TE,25,8,8,0,0,0,0,0,0,0,,0,14,11,91,8.27,0,0,0,0,1,,11,22.1,22.1,16.6,,63,,HillJu02
330,Allen Lazard,NYJ,WR,30,7,2,0,0,0,0,0,0,0,,0,14,8,54,6.75,1,0,0,1,,,11,19.4,19.4,15.4,,136,,LazaAl00
331,Jayden Reed,GNB,WR,25,2,1,0,0,0,0,0,0,0,,0,5,3,45,15.00,1,0,0,1,,,11,13.5,13.5,12.0,,141,,ReedJa03
332,David Sills V,ATL,WR,29,11,1,0,0,0,0,0,0,0,,0,12,6,50,8.33,1,0,0,1,,,11,17.0,17.0,14.0,,138,,SillDa01
333,Dont'e Thornton,LVR,WR,23,10,6,0,0,0,0,0,0,0,,0,23,7,112,16.00,0,0,0,0,,,11,18.2,21.2,14.7,,137,,ThorDo00
334,Jamari Thrash,CLE,WR,25,9,1,0,0,0,0,0,0,0,,0,15,10,107,10.70,0,0,0,0,,,11,20.7,23.7,15.7,,139,,ThraJa01
335,Tylan Wallace,BAL,WR,26,11,2,0,0,0,0,0,0,0,,0,8,4,45,11.25,1,0,0,1,,,11,14.5,14.5,12.5,,142,,WallTy00
336,Isaiah Williams,NYJ,WR,24,9,0,0,1,0,0,0,2,29,14.50,0,9,5,37,7.40,0,1,1,1,,,11,15.6,16.6,13.1,,140,,WillIs03
337,Tyler Badie,DEN,RB,25,10,0,0,0,0,0,0,2,9,4.50,0,19,11,87,7.91,0,0,0,0,,,10,20.6,20.6,15.1,,85,,BadiTy00
338,Brittain Brown,CHI,RB,28,2,0,0,0,0,0,0,5,37,7.40,1,1,0,0,,0,0,0,1,,,10,9.7,9.7,9.7,,84,,BrowBr06
339,Tyler Conklin,LAC,TE,30,11,5,0,0,0,0,0,1,2,2.00,0,9,6,95,15.83,0,1,0,0,,,10,15.7,15.7,12.7,,66,,ConkTy00
340,Malachi Corley,CLE,WR,23,7,2,0,0,0,0,0,5,68,13.60,0,6,5,34,6.80,0,0,0,0,,,10,15.2,15.2,12.7,,143,,CorlMa00
341,Andy Dalton,CAR,QB,38,4,1,25,37,293,1,1,5,-2,-0.40,0,0,0,0,,0,2,2,0,,,10,9.5,12.5,10.5,,48,,DaltAn00
342,John FitzPatrick,GNB,TE,25,11,2,0,0,0,0,0,0,0,,0,7,7,40,5.71,1,0,0,1,,,10,17.0,17.0,13.5,,65,,FitzJo00
343,Mike Gesicki,CIN,TE,30,7,1,0,0,0,0,0,0,0,,0,22,12,96,8.00,0,0,0,0,,,10,21.6,21.6,15.6,,67,,GesiMi00
344,Konata Mumpfield,LAR,WR,23,11,0,0,0,0,0,0,0,0,,0,7,4,37,9.25,1,0,0,1,,,10,13.7,13.7,11.7,,144,,MumpKo00
345,Johnny Mundt,JAX,TE,31,11,6,0,0,0,0,0,0,0,,0,17,8,95,11.88,0,0,0,0,,,10,17.5,17.5,13.5,,68,,MundJo00
346,Jack Stoll,NOR,TE,27,10,2,0,0,0,0,0,0,0,,0,7,4,35,8.75,1,0,0,1,,,10,13.5,13.5,11.5,,69,,StolJa00
347,Jack Bech,LVR,WR,23,11,2,0,0,0,0,0,0,0,,0,12,8,92,11.50,0,0,0,0,,,9,17.2,17.2,13.2,,147,,BechJa00
348,Andrew Beck,NYJ,FB,29,11,0,0,0,0,0,0,0,0,,0,5,4,26,6.50,1,0,0,1,,,9,12.6,12.6,10.6,,87,,BeckAn01
349,Chris Brooks,GNB,RB,25,11,0,0,0,0,0,0,11,31,2.82,0,10,8,59,7.38,0,0,0,0,,,9,17.0,17.0,13.0,,86,,BrooCh00
350,Tanner Conner,MIA,TE,27,9,0,0,0,0,0,0,0,0,,0,15,9,91,10.11,0,0,0,0,,,9,18.1,18.1,13.6,,71,,ConnTa00
351,Greg Dulcich,MIA,TE,25,4,1,0,0,0,0,0,0,0,,0,13,8,89,11.13,0,0,0,0,,,9,16.9,16.9,12.9,,72,,DulcGr00
352,Najee Harris,LAC,RB,27,3,0,0,0,0,0,0,15,61,4.07,0,3,3,25,8.33,0,0,0,0,,,9,11.6,11.6,10.1,,88,,HarrNa00
353,Malik Heath,GNB,WR,25,10,0,0,0,0,0,0,0,0,,0,6,6,86,14.33,0,0,0,0,,,9,14.6,14.6,11.6,,150,,HeatMa00
354,Connor Heyward,PIT,TE,26,11,1,0,0,0,0,0,5,9,1.80,0,3,2,18,9.00,1,0,0,1,,,9,10.7,10.7,9.7,,74,,HeywCo00
355,Ryan Miller,TAM,WR,25,11,3,0,0,0,0,0,0,0,,0,4,2,34,17.00,1,0,0,1,,,9,11.4,11.4,10.4,,145,,MillRy01
356,Ben Sinnott,WAS,TE,23,10,3,0,0,0,0,0,0,0,,0,3,3,33,11.00,1,0,0,1,,,9,12.3,12.3,10.8,,70,,SinnBe00
357,Xavier Smith,LAR,WR,28,10,1,0,0,0,0,0,0,0,,0,10,7,85,12.14,0,0,0,0,,,9,15.5,15.5,12.0,,151,,SmitXa00
358,Adam Thielen,MIN,WR,35,11,4,0,0,0,0,0,0,0,,0,18,8,69,8.63,0,0,0,0,1,,9,16.9,16.9,12.9,,148,,ThieAd00
359,Ian Thomas,LVR,TE,29,11,6,0,0,0,0,0,0,0,,0,10,10,89,8.90,0,0,0,0,,,9,18.9,18.9,13.9,,73,,ThomIa00
360,Casey Washington,ATL,WR,24,7,2,0,0,0,0,0,0,0,,0,14,6,94,15.67,0,0,0,0,,,9,15.4,15.4,12.4,,146,,WashCa01
361,Nick Westbrook-Ikhine,MIA,WR,28,11,3,0,0,0,0,0,0,0,,0,19,11,89,8.09,0,0,0,0,,,9,19.9,19.9,14.4,,149,,WestNi00
362,Austin Ekeler,WAS,RB,30,2,2,0,0,0,0,0,14,43,3.07,0,7,5,38,7.60,0,0,0,0,,,8,13.1,13.1,10.6,,90,,EkelAu00
363,Trevor Etienne,CAR,RB,21,12,0,0,0,0,0,0,20,94,4.70,0,2,2,9,4.50,0,2,1,0,,,8,10.3,11.3,9.3,,89,,EtieTr01
364,Jaret Patterson,LAC,RB,26,3,0,0,0,0,0,0,21,75,3.57,0,0,0,0,,0,0,0,0,,,8,7.5,7.5,7.5,,91,,PattJa01
365,Drew Sample,CIN,TE,29,11,9,0,0,0,0,0,0,0,,0,10,6,24,4.00,1,0,0,1,,,8,14.4,14.4,11.4,,75,,SampDr00
366,Brevyn Spann-Ford,DAL,TE,26,11,4,0,0,0,0,0,0,0,,0,6,5,22,4.40,1,0,0,1,,,8,13.2,13.2,10.7,,76,,SpanBr00
367,Cam Akers,MIN,RB,26,3,0,1,1,32,1,0,5,19,3.80,0,1,0,0,,0,0,0,0,,,7,7.2,7.2,7.2,,94,,AkerCa00
368,Jaydon Blue,DAL,RB,21,4,0,0,0,0,0,0,22,65,2.95,0,1,1,5,5.00,0,1,0,0,,,7,8.0,8.0,7.5,,95,,BlueJa01
369,Treylon Burks,WAS,WR,25,2,0,0,0,0,0,0,0,0,,0,4,4,72,18.00,0,0,0,0,,,7,11.2,11.2,9.2,,152,,BurkTr00
370,DJ Giddens,IND,RB,22,7,0,0,0,0,0,0,18,66,3.67,0,2,0,0,,0,0,0,0,,,7,6.6,6.6,6.6,,97,,GiddDJ00
371,Kaleb Johnson,PIT,RB,22,7,0,0,0,0,0,0,22,58,2.64,0,2,1,9,9.00,0,1,0,0,,,7,7.7,7.7,7.2,,96,,JohnKa03
372,Ray-Ray McCloud,2TM,WR,29,6,2,0,0,0,0,0,0,0,,0,15,7,69,9.86,0,0,0,0,,,7,13.9,13.9,10.4,,153,,McClRa00
373,Jaleel McLaughlin,DEN,RB,25,2,0,0,0,0,0,0,7,19,2.71,1,2,1,-5,-5.00,0,0,0,1,,,7,8.4,8.4,7.9,,92,,McLaJa00
374,Skyy Moore,SFO,WR,25,12,0,0,0,0,0,0,1,1,1.00,0,6,4,64,16.00,0,1,0,0,,,7,10.5,10.5,8.5,,154,,MoorSk01
375,Andrew Ogletree,IND,TE,27,11,3,0,0,0,0,0,0,0,,0,3,2,8,4.00,1,0,0,1,,,7,8.8,8.8,7.8,,77,,OgleAn00
376,Will Shipley,PHI,RB,23,9,0,0,0,0,0,0,11,45,4.09,0,6,4,28,7.00,0,0,0,0,,,7,11.3,11.3,9.3,,93,,ShipWi00
377,Mo Alie-Cox,IND,TE,32,11,5,0,0,0,0,0,0,0,,0,9,5,59,11.80,0,0,0,0,,,6,10.9,10.9,8.4,,82,,AlieMo00
378,John Bates,WAS,TE,28,9,7,0,0,0,0,0,0,0,,0,10,6,62,10.33,0,0,0,0,,,6,12.2,12.2,9.2,,80,,BateJo00
379,Gabriel Davis,BUF,WR,26,2,2,0,0,0,0,0,0,0,,0,6,4,62,15.50,0,0,0,0,,,6,10.2,10.2,8.2,,155,,DaviGa01
380,AJ Dillon,PHI,RB,27,6,0,0,0,0,0,0,12,60,5.00,0,2,2,18,9.00,0,1,1,0,,,6,7.8,8.8,6.8,,100,,DillAJ00
381,Chris Godwin,TAM,WR,29,3,2,0,0,0,0,0,0,0,,0,18,8,61,7.63,0,0,0,0,,,6,14.1,14.1,10.1,,156,,GodwCh00
382,Lil'Jordan Humphrey,2TM,WR,27,4,2,0,0,0,0,0,0,0,,0,10,4,55,13.75,0,0,0,0,,,6,9.5,9.5,7.5,,159,,HumpLi01
383,Charlie Jones,CIN,WR,27,11,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,1,,,6,6.0,6.0,6.0,,157,,JoneCh11
384,David Martin-Robinson,TEN,TE,26,11,3,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,81,,MartDa01
385,Joe Milton,DAL,QB,25,2,0,6,9,99,1,1,0,0,,0,0,0,0,,0,0,0,0,,,6,6.0,7.0,7.0,,50,,MiltJo00
386,Kene Nwangwu,NYJ,RB,27,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,1,,,6,6.0,6.0,6.0,,99,,NwanKe00
387,Raheim Sanders,CLE,RB,23,1,0,0,0,0,0,0,3,3,1.00,1,0,0,0,,0,0,0,1,,,6,6.3,6.3,6.3,,98,,SandRa00
388,Luke Schoonmaker,DAL,TE,27,11,4,0,0,0,0,0,0,0,,0,16,8,63,7.88,0,0,0,0,,,6,14.3,14.3,10.3,,78,,SchoLu00
389,Arian Smith,NYJ,WR,24,11,5,0,0,0,0,0,3,11,3.67,0,10,6,47,7.83,0,0,0,0,,,6,11.8,11.8,8.8,,158,,SmitAr01
390,Josh Whyle,GNB,TE,26,3,1,0,0,0,0,0,0,0,,0,2,2,3,1.50,1,0,0,1,,,6,8.3,8.3,7.3,,79,,WhylJo01
391,Malik Willis,GNB,QB,26,2,0,3,3,13,1,0,3,19,6.33,0,0,0,0,,0,0,0,0,,,6,6.4,6.4,6.4,,49,,WillMa12
392,Robbie Chosen,WAS,WR,32,3,0,0,0,0,0,0,0,0,,0,9,5,53,10.60,0,0,0,0,,,5,10.3,10.3,7.8,,160,,AndeRo04
393,Grant Calcaterra,PHI,TE,27,9,4,0,0,0,0,0,0,0,,0,8,5,48,9.60,0,0,0,0,,,5,9.8,9.8,7.3,,83,,CalcGr00
394,Malik Davis,DAL,RB,27,5,0,0,0,0,0,0,10,50,5.00,0,0,0,0,,0,0,0,0,,,5,5.0,5.0,5.0,,101,,DaviMa02
395,Alec Ingold,MIA,FB,29,11,7,0,0,0,0,0,2,9,4.50,0,7,5,36,7.20,0,0,0,0,,,5,9.5,9.5,7.0,,104,,IngoAl01
396,Bo Melton,GNB,WR,26,10,0,0,0,0,0,0,2,20,10.00,0,5,2,28,14.00,0,0,0,0,,,5,6.8,6.8,5.8,,161,,MeltBo00
397,Adam Prentice,DEN,FB,28,11,1,0,0,0,0,0,4,17,4.25,0,5,3,31,10.33,0,0,0,0,,,5,7.8,7.8,6.3,,103,,PrenAd00
398,Austin Trammell,JAX,WR,27,4,0,0,0,0,0,0,0,0,,0,6,3,46,15.33,0,0,0,0,,,5,7.6,7.6,6.1,,163,,TramAu00
399,Jaylen Wright,MIA,RB,22,4,0,0,0,0,0,0,15,49,3.27,0,1,1,0,0.00,0,0,0,0,,,5,5.9,5.9,5.4,,102,,WrigJa04
400,Dareke Young,SEA,WR,26,6,0,0,0,0,0,0,0,0,,0,2,2,48,24.00,0,0,0,0,,,5,6.8,6.8,5.8,,162,,YounDa02
401,Braxton Berrios,HOU,WR,30,4,0,0,0,0,0,0,0,0,,0,8,6,37,6.17,0,0,0,0,,,4,9.7,9.7,6.7,,167,,BerrBr00
402,Noah Brown,WAS,WR,29,2,2,0,0,0,0,0,0,0,,0,7,3,36,12.00,0,0,0,0,,,4,6.6,6.6,5.1,,168,,BrowNo00
403,Nathan Carter,ATL,RB,23,4,0,0,0,0,0,0,9,60,6.67,0,0,0,0,,0,1,1,0,,,4,4.0,5.0,4.0,,107,,CartNa00
404,Julius Chestnut,TEN,RB,25,11,0,0,0,0,0,0,10,39,3.90,0,2,0,0,,0,0,0,0,,,4,3.9,3.9,3.9,,108,,ChesJu00
405,Will Dissly,LAC,TE,29,4,1,0,0,0,0,0,0,0,,0,5,4,43,10.75,0,0,0,0,,,4,8.3,8.3,6.3,,84,,DissWi00
406,D'Wayne Eskridge,MIA,WR,28,9,0,0,0,0,0,0,0,0,,0,7,4,62,15.50,0,1,1,0,,,4,8.2,9.2,6.2,,164,,EskrDW00
407,Hassan Haskins,LAC,RB,26,7,0,0,0,0,0,0,12,30,2.50,0,4,4,13,3.25,0,0,0,0,,,4,8.3,8.3,6.3,,106,,HaskHa00
408,Jalin Hyatt,NYG,WR,24,7,0,0,0,0,0,0,0,0,,0,13,5,35,7.00,0,0,0,0,,,4,8.5,8.5,6.0,,169,,HyatJa00
409,Trey Lance,LAC,QB,25,2,0,6,12,81,0,0,4,12,3.00,0,0,0,0,,0,0,0,0,,,4,4.4,4.4,4.4,,51,,LancTr00
410,Albert Okwuegbunam,LVR,TE,27,1,0,0,0,0,0,0,0,0,,0,6,5,36,7.20,0,0,0,0,,,4,8.6,8.6,6.1,,85,,OkwuAl00
411,James Proche,TEN,WR,29,3,0,0,0,0,0,0,0,0,,0,3,3,42,14.00,0,0,0,0,,,4,7.2,7.2,5.7,,165,,ProcJa00
412,Marquez Valdes-Scantling,SFO,WR,31,5,0,0,0,0,0,0,0,0,,0,8,4,40,10.00,0,0,0,0,,,4,8.0,8.0,6.0,,166,,ValdMa00
413,Zamir White,LVR,RB,26,4,0,0,0,0,0,0,10,25,2.50,0,5,3,19,6.33,0,0,0,0,,,4,7.4,7.4,5.9,,105,,WhitZa01
414,Tyson Bagent,CHI,QB,25,3,0,3,4,47,0,0,2,7,3.50,0,0,0,0,,0,1,0,0,,,3,2.6,2.6,2.6,,53,,BageTy00
415,Teddy Bridgewater,TAM,QB,33,4,0,8,15,62,0,0,3,4,1.33,0,0,0,0,,0,0,0,0,,,3,2.9,2.9,2.9,,52,,BridTe00
416,Tahj Brooks,CIN,RB,23,11,0,0,0,0,0,0,9,28,3.11,0,1,0,0,,0,0,0,0,,,3,2.8,2.8,2.8,,110,,BrooTa00
417,Beaux Collins,NYG,WR,23,9,0,0,0,0,0,0,0,0,,0,6,2,25,12.50,0,0,0,0,,,3,4.5,4.5,3.5,,176,,CollBe00
418,KhaDarel Hodge,ATL,WR,30,10,1,0,0,0,0,0,0,0,,0,10,3,31,10.33,0,0,0,0,,,3,6.1,6.1,4.6,,172,,HodgKh00
419,Jacoby Jones,WAS,WR,24,1,0,0,0,0,0,0,0,0,,0,1,1,25,25.00,0,0,0,0,,,3,3.5,3.5,3.0,,177,,JoneJa16
420,Gage Larvadain,CLE,WR,23,7,0,0,0,0,0,0,1,3,3.00,0,6,2,22,11.00,0,0,0,0,,,3,4.5,4.5,3.5,,178,,LarvGa00
421,James Mitchell,CAR,TE,26,3,0,0,0,0,0,0,0,0,,0,3,3,28,9.33,0,0,0,0,,,3,5.8,5.8,4.3,,87,,MitcJa00
422,Foster Moreau,NOR,TE,28,7,5,0,0,0,0,0,0,0,,0,6,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4.0,,88,,MoreFo00
423,Dare Ogunbowale,HOU,RB,31,11,0,0,0,0,0,0,3,18,6.00,0,6,5,36,7.20,0,1,1,0,,,3,8.4,9.4,5.9,,109,,OgunDa00
424,Dameon Pierce,HOU,RB,25,4,0,0,0,0,0,0,10,26,2.60,0,1,0,0,,0,0,0,0,,,3,2.6,2.6,2.6,,111,,PierDa01
425,Nikko Remigio,KAN,WR,26,11,0,0,0,0,0,0,1,11,11.00,0,1,1,21,21.00,0,1,0,0,,,3,4.2,4.2,3.7,,171,,RemiNi00
426,Xavier Restrepo,TEN,WR,23,1,0,0,0,0,0,0,0,0,,0,6,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,174,,RestXa00
427,Mason Tipton,NOR,WR,25,10,1,0,0,0,0,0,1,11,11.00,0,6,3,22,7.33,0,0,0,0,,,3,6.3,6.3,4.8,,170,,TiptMa00
428,Jordan Watkins,SFO,WR,23,3,0,0,0,0,0,0,0,0,,0,3,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,175,,WatkJo00
429,Justin Watson,HOU,WR,29,2,0,0,0,0,0,0,0,0,,0,4,3,30,10.00,0,0,0,0,,,3,6.0,6.0,4.5,,173,,WatsJu01
